priority,symbol,identifier,open,dayHigh,dayLow,lastPrice,previousClose,change,pChange,ffmc,yearHigh,yearLow,totalTradedVolume,stockIndClosePrice,totalTradedValue,lastUpdateTime,nearWKH,nearWKL,perChange365d,perChange30d,date365dAgo,date30dAgo,chartTodayPath,chart30dPath,chart365dPath,series,meta
1,NIFTY 500,NIFTY 500,23683.35,23713.4,23501.05,23513.15,23675.45,-162.29999999999927,-0.69,1969502276.7,23971.55,19519.85,2624601878,0,923316666975.52,06-Nov-2025 16:00:00,1.9122668329749133,-20.45763671339689,3.73,2.81,01-Nov-2024,03-Oct-2025,https://nsearchives.nseindia.com/today/NIFTY-500.svg,https://nsearchives.nseindia.com/30d/NIFTY-500.svg,https://nsearchives.nseindia.com/365d/NIFTY-500.svg,,
0,REDINGTON,REDINGTONEQN,265.15,293.3,265.0,287.15,250.25,36.9,14.75,170131155897.45,334.8,176.94,88099906,0,24952536376.38,,14.232377538829162,-62.28665084209336,47.08,4.71,05-Nov-2024,06-Oct-2025,https://nsearchives.nseindia.com/today/REDINGTONEQN.svg,https://nsearchives.nseindia.com/30d/REDINGTON-EQ.svg,https://nsearchives.nseindia.com/365d/REDINGTON-EQ.svg,EQ,"{'symbol': 'REDINGTON', 'companyName': 'Redington Limited', 'industry': 'Trading & Distributors', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE891D01026', 'slb_isin': 'INE891D01026', 'listingDate': '2007-02-15', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '06-Nov-2025 16:00:00', 'preOpenTime': '06-Nov-2025 09:07:10', 'QuotePreOpenFlag': False}}"
0,IGIL,IGILEQN,346.65,368.65,342.0,367.0,335.15,31.85,9.5,37185333162.53,642.3,282.0,8620170,0,3114553622.7,,42.86159115678032,-30.141843971631207,0.0,4.62,,06-Oct-2025,https://nsearchives.nseindia.com/today/IGILEQN.svg,https://nsearchives.nseindia.com/30d/IGIL-EQ.svg,https://nsearchives.nseindia.com/365d/IGIL-EQ.svg,EQ,"{'symbol': 'IGIL', 'companyName': 'International Gemmological Institute (India) Limited', 'industry': 'Diversified Commercial Services', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE0Q9301021', 'slb_isin': 'INE0Q9301021', 'listingDate': '2024-12-20', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '06-Nov-2025 16:00:00', 'preOpenTime': '06-Nov-2025 09:07:10', 'QuotePreOpenFlag': False}}"
0,CCL,CCLEQN,922.0,1004.0,922.0,972.0,888.65,83.35,9.38,68407312146.47,1004.0,525.0,9799457,0,9671378097.01,,3.187250996015936,-85.14285714285714,45.35,15.09,05-Nov-2024,06-Oct-2025,https://nsearchives.nseindia.com/today/CCLEQN.svg,https://nsearchives.nseindia.com/30d/CCL-EQ.svg,https://nsearchives.nseindia.com/365d/CCL-EQ.svg,EQ,"{'symbol': 'CCL', 'companyName': 'CCL Products (India) Limited', 'industry': 'Tea & Coffee', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': ['BE', 'IL'], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE421D01022', 'slb_isin': 'INE421D01022', 'listingDate': '2004-06-07', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '06-Nov-2025 16:00:00', 'preOpenTime': '06-Nov-2025 09:07:10', 'QuotePreOpenFlag': False}}"
0,BAJAJHLDNG,BAJAJHLDNGEQN,12139.0,13250.0,12015.0,13071.0,12091.0,980.0,8.11,564353278027.61,14763.0,10110.05,706323,0,9201629945.73,,11.461085145295671,-29.287194425349043,23.95,11.33,05-Nov-2024,06-Oct-2025,https://nsearchives.nseindia.com/today/BAJAJHLDNGEQN.svg,https://nsearchives.nseindia.com/30d/BAJAJHLDNG-EQ.svg,https://nsearchives.nseindia.com/365d/BAJAJHLDNG-EQ.svg,EQ,"{'symbol': 'BAJAJHLDNG', 'companyName': 'Bajaj Holdings & Investment Limited', 'industry': 'Holding Company', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE118A01012', 'slb_isin': 'INE118A01012', 'listingDate': '1995-03-15', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '06-Nov-2025 16:00:00', 'preOpenTime': '06-Nov-2025 09:07:10', 'QuotePreOpenFlag': False}}"
0,ASTRAL,ASTRALEQN,1482.5,1572.5,1482.5,1572.0,1467.2,104.8,7.14,192970103782.7,1867.0,1232.3,5837826,0,9031116822.0,,15.800749866095341,-27.566339365414272,-11.51,13.19,05-Nov-2024,06-Oct-2025,https://nsearchives.nseindia.com/today/ASTRALEQN.svg,https://nsearchives.nseindia.com/30d/ASTRAL-EQ.svg,https://nsearchives.nseindia.com/365d/ASTRAL-EQ.svg,EQ,"{'symbol': 'ASTRAL', 'companyName': 'Astral Limited', 'industry': 'Plastic Products - Industrial', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE006I01046', 'slb_isin': 'INE006I01046', 'listingDate': '2007-03-20', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '06-Nov-2025 16:00:00', 'preOpenTime': '06-Nov-2025 09:07:10', 'QuotePreOpenFlag': False}}"
0,ASIANPAINT,ASIANPAINTEQN,2560.1,2631.0,2560.1,2602.1,2486.7,115.4,4.64,1173443345384.15,2962.15,2124.75,4448622,0,11585991136.8,,12.155022534307856,-22.466172490881277,-9.85,10.54,05-Nov-2024,06-Oct-2025,https://nsearchives.nseindia.com/today/ASIANPAINTEQN.svg,https://nsearchives.nseindia.com/30d/ASIANPAINT-EQ.svg,https://nsearchives.nseindia.com/365d/ASIANPAINT-EQ.svg,EQ,"{'symbol': 'ASIANPAINT', 'companyName': 'Asian Paints Limited', 'industry': 'Paints', 'activeSeries': ['EQ', 'T0'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE021A01026', 'slb_isin': 'INE021A01026', 'listingDate': '1995-05-31', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '06-Nov-2025 16:00:00', 'preOpenTime': '06-Nov-2025 09:07:10', 'QuotePreOpenFlag': False}}"
0,PAYTM,PAYTMEQN,1310.0,1333.8,1292.7,1321.9,1268.0,53.9,4.25,484625257438.26,1333.8,651.5,10267401,0,13524939315.27,,0.8921877342929873,-102.9009976976209,72.75,7.87,05-Nov-2024,06-Oct-2025,https://nsearchives.nseindia.com/today/PAYTMEQN.svg,https://nsearchives.nseindia.com/30d/PAYTM-EQ.svg,https://nsearchives.nseindia.com/365d/PAYTM-EQ.svg,EQ,"{'symbol': 'PAYTM', 'companyName': 'One 97 Communications Limited', 'industry': 'Financial Technology (Fintech)', 'activeSeries': ['EQ', 'T0'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE982J01020', 'slb_isin': 'INE982J01020', 'listingDate': '2021-11-18', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '06-Nov-2025 16:00:00', 'preOpenTime': '06-Nov-2025 09:07:10', 'QuotePreOpenFlag': False}}"
0,SCI,SCIEQN,251.7,267.0,251.6,260.0,250.2,9.8,3.92,43846331561.87,280.5,138.26,18206422,0,4785011830.04,,7.308377896613191,-88.05149717922755,20.81,16.2,05-Nov-2024,06-Oct-2025,https://nsearchives.nseindia.com/today/SCIEQN.svg,https://nsearchives.nseindia.com/30d/SCI-EQ.svg,https://nsearchives.nseindia.com/365d/SCI-EQ.svg,EQ,"{'symbol': 'SCI', 'companyName': 'Shipping Corporation Of India Limited', 'industry': 'Shipping', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE109A01011', 'slb_isin': 'INE109A01011', 'listingDate': '1997-08-13', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '06-Nov-2025 16:00:00', 'preOpenTime': '06-Nov-2025 09:07:10', 'QuotePreOpenFlag': False}}"
0,MANAPPURAM,MANAPPURAMEQN,266.8,277.4,266.5,274.0,266.45,7.55,2.83,149965197411.22,298.0,147.67,9529258,0,2608253207.18,,8.053691275167786,-85.54885894223608,72.35,-5.76,05-Nov-2024,06-Oct-2025,https://nsearchives.nseindia.com/today/MANAPPURAMEQN.svg,https://nsearchives.nseindia.com/30d/MANAPPURAM-EQ.svg,https://nsearchives.nseindia.com/365d/MANAPPURAM-EQ.svg,EQ,"{'symbol': 'MANAPPURAM', 'companyName': 'Manappuram Finance Limited', 'industry': 'Non Banking Financial Company (NBFC)', 'activeSeries': ['EQ', 'T0'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': ['NA', 'NB', 'ND', 'NE', 'NF', 'NG', 'NH', 'NI', 'NJ', 'NK', 'NL', 'NM', 'N8', 'N7', 'N6', 'N5', 'N4', 'N3', 'N2', 'N1', 'N9'], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE522D01027', 'slb_isin': 'INE522D01027', 'listingDate': '2014-12-01', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '06-Nov-2025 16:00:00', 'preOpenTime': '06-Nov-2025 09:07:10', 'QuotePreOpenFlag': False}}"
